,userid,time_stamp,adgroup_id,pid,nonclk,clk,cms_segid,cms_group_id,final_gender_code,age_level,pvalue_level,shopping_level,occupation,new_user_class_level ,cate_id,campaign_id,customer,brand,price,hist_cate_id,hist_adgroup_id
323656,636564,1494124209,710164,430548_1007,1,0,20,3,2,3,2.0,3,0,3.0,1665,405490,60305,,1.0898999107666896e-06,1665,710164
11868299,450685,1494135533,721361,430548_1007,1,0,8,2,2,2,2.0,3,0,3.0,6341,391792,25946,60778.0,1.5798999584148987e-06,6341,721361
12320376,324042,1494584392,599661,430548_1007,1,0,0,3,2,3,1.0,2,0,,4288,342536,75815,,1.7998999055635068e-06,4288,599661
11693675,1102430,1494374472,728257,430548_1007,1,0,2,1,2,1,1.0,3,0,4.0,4284,309045,246846,,3.9970001353140105e-07,4284,728257
899478,503986,1494660920,745181,430548_1007,1,0,16,3,2,3,1.0,3,0,2.0,1665,114161,169696,,3.979900156991789e-06,1665,745181
24470505,1075609,1494415330,790754,430539_1007,1,0,54,8,1,2,1.0,3,1,2.0,6142,323119,154596,392008.0,3.979900156991789e-06,6142,790754
933338,406973,1494128705,643551,430548_1007,0,1,0,2,2,2,,3,0,,4521,353477,13592,,1.5798999584148987e-06,4521,643551
2458693,731621,1494197371,633086,430539_1007,1,0,0,4,2,4,,3,0,1.0,1665,286329,106063,287015.0,8.489900210406631e-06,1665,633086
21204629,1091685,1494561594,139873,430548_1007,1,0,8,2,2,2,1.0,3,0,3.0,562,399354,54021,,5.799000177830749e-07,562,139873
24232840,718709,1494393719,657736,430539_1007,1,0,66,9,1,3,2.0,3,0,2.0,11310,208549,13614,327079.0,1.1898999900950002e-06,11310,657736
17351498,1076981,1494427170,684223,430548_1007,1,0,80,10,1,4,2.0,3,0,2.0,6185,335808,61491,,2.8990001510464936e-07,6185,684223
10310765,946447,1494415080,677114,430548_1007,1,0,0,4,2,4,,1,0,,6183,112501,114369,353313.0,1.2398999160723179e-06,6183,677114
22314852,728743,1494213687,180666,430539_1007,1,0,0,4,2,4,,3,0,2.0,4541,268846,73535,353787.0,1.515989970357623e-05,4541,180666
18823891,42044,1494089751,769228,430539_1007,1,0,19,3,2,3,2.0,3,0,2.0,5467,90866,135253,299055.0,9.798999371923856e-07,5467,769228
8223652,175623,1494562744,737812,430548_1007,1,0,0,2,2,2,,2,0,,4284,381042,171670,258265.0,1.989900056287297e-06,4284,737812
12411387,437677,1494484042,826607,430539_1007,1,0,0,9,1,3,,3,0,3.0,4385,243734,41447,,9.798999371923856e-07,4385,826607
16964627,1036810,1494607816,808831,430539_1007,1,0,0,3,2,3,,3,0,2.0,4745,70721,147655,,5.919000045651046e-07,4745,808831
14508480,728644,1494463938,592287,430548_1007,1,0,7,2,2,2,1.0,3,0,1.0,6261,408709,63559,234977.0,3.6990002172387904e-07,6261,592287
23707625,404241,1494298232,751374,430548_1007,1,0,0,3,2,3,,3,0,,492,239523,216329,,1.4536999515257776e-06,492,751374
